directorio_hog,ingreso,gasto
19846801,3516500,3311733.33333333
19846901,2900000,2958216.66666667
19847001,2086000,3267250
19847101,842500,1039108.33333333
19847201,5799983.33333333,4745832.66666667
19847301,1136000,1444166.66666667
19847401,4016666.66666667,4256960.16666667
19847501,1070416.66666667,1399972.5
19847601,1358333.33333333,2592645.83333333
19847701,4285833.33333333,4218056.66666667
19847801,3378000,2656506.16666667
19847901,2425000,2765866.66666667
19848001,1500000,1351066.66666667
19848101,1708333.33333333,3113594
19848301,4134999.83333333,8956600
19848401,203331.333333333,3216955.33333333
19848501,10125000,4985592.66666667
19853001,1300000,1859166.66666667
19853101,901833.333333333,1144642.25
19853401,1002500,2192963.16666667
19854001,2124500,920688.25
19854101,3983333.33333333,1883500
19854201,1050000,1511083.33333333
19854301,2091666.66666667,2831264.83333333
19854401,4622500,1808181.66666667
19854501,1656666.66666667,1484516.66666667
19854601,2254583.33333333,1681950
19854701,23083333.3333333,8222083.33333333
19854801,3300000,7504266.66666667
19854901,408333.333333333,1941900
19855001,1667000,1064100.75
19855101,16090000,13408909.1666667
19855201,1670000,3825352.58333333
19855301,7166666.66666667,6080333.33333333
19855401,6075000,11829068.6666667
19855501,1722083.33333333,2356311.27777778
19855801,19025833.3333333,13049172.3333333
19856001,1097000,820583.333333333
19856201,2420000,3498249
19856301,2697916.66666667,1827233.33333333
19856401,980000,852833.333333333
19856501,25875000,11807081.3333333
19856601,4764833.33333333,10801917
19856801,3079583.33333333,3438320.16666667
19857101,150000,1619079.11111111
19857201,723233.333333333,1424440
19857301,2683333.33333333,3603816.33333333
19857401,1931250,2324988.08333333
19857501,1366600,2160890.33333333
19857601,6450000,3862475.27777778
19857701,5979166.66666667,5927082.61111111
19857801,8330833.33333333,7885648.27777778
19857901,733333.333333333,1590249.61111111
19858001,1940750,2429417
19858101,800000,365616.666666667
19858201,1896000,843638.5
19858301,1500000,2122853.66666667
19858401,2441666.66666667,2041214.94444444
19858501,4500000,7413666.66666667
19858601,NA,4593666.66666667
19858701,24001666.5,4542250
19858801,1179999,2040800
19858901,400000,803000
19859001,650666.666666667,806666.666666667
19859101,1736666.66666667,2369177.94444444
19859201,1430000,1700223.66666667
19859202,1300000,989682.444444444
19859203,1236000,442333.333333333
19859301,1608000,1944667.33333333
19859501,1870000,1620682.66666667
19859601,1795833.33333333,2627080
19859701,400000,1114333.33333333
19859801,1000000,3235166.66666667
19859901,NA,1265841.66666667
19860001,2050000,1809017.75
19860101,270000,628000
19860501,5000000,4686966.66666667
19860701,7133333.33333333,8705039.33333333
19861201,11496666.6666667,5428000
19861301,4500000,6576000
19861401,11183333.3333333,7737261.66666667
19863201,7025000,8227676.08333333
19866201,3305833.33333333,3907940.83333333
19866301,700000,1168575
19866401,536500,316067.333333333
19866501,1236666.66666667,1295125
19866601,1685000,892059.291666667
19866701,2509999,4667361
19866801,4576665.66666667,10033321.1666667
19866901,300000,461411.5
19867001,1464500,1965850
19867101,7005151.66666667,4146838.16666667
19867201,1536750,3090750
19867301,1284000,1655142.5
19867501,14296666.6666667,10197679.1666667
19867601,1666666.66666667,2356619.77777778
19867701,167499.916666667,2175610.66666667
19867801,1051666.5,1346970.16666667
19867901,2239666.66666667,1672630.66666667
19868001,400000,674775.5
19868002,100000,587250
19868003,536000,504100
19868004,300000,442500
19868101,3805333.33333333,2260963.91666667
19868201,400000,780000
19868202,3037000,2278585
19868301,2244999,1466229.66666667
19868401,2000000,1332500
19868501,673333.333333333,738516.666666667
19868601,3620833.25,1413666.66666667
19868801,3735000,1734601.66666667
19868901,3311333.33333333,1863634.33333333
19869001,725010,1896792.91666667
19869101,750000,2783409.11111111
19869301,2150000,3361339
19869701,800000,1457666.66666667
19870101,600000,1562000
19870201,595833.333333333,711666.666666667
19870301,1580666.66666667,1536998.33333333
19870401,1072850,1491347
19870501,1536000,1955469.66666667
19870701,2325000,2005072.33333333
19870801,816200,1296662.83333333
19870802,2425000,3297833.33333333
19871001,1660000,3319290
19871101,NA,592000
19871201,1265600,1950645.83333333
19871301,2600000,3434106.75
19871401,NA,1989666.66666667
19871601,1397500,1192883.33333333
